DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            -0.200              -0.082            -0.117         4.689
RESSURF           -0.176              -0.092            -0.084         3.351
SOLIN            340.348             340.348             0.000         0.000
AAM            1.284e+26           1.334e+26        -5.078e+24      -999.000
CHI_200           -0.002              -0.001            -0.001         0.716
CLDHGH            38.530              38.465             0.064         2.913
CLDLOW            44.787              42.333             2.454         4.200
CLDMED            28.776              26.826             1.950         3.650
CLDTOT            65.327              63.283             2.044         3.700
EKE_850           30.783              29.279             1.504         2.963
EP            -6.589e-05          -1.012e-04         3.530e-05         0.536
FLNS              58.961              55.703             3.259         4.926
FLNSC             87.529              81.240             6.290         7.633
FLNT             233.826             237.486            -3.660         5.697
FLNTC            258.901             261.689            -2.789         4.449
FSDS             189.237             187.507             1.730         8.077
FSDSC            250.933             247.130             3.803         3.948
FSNS             162.397             163.508            -1.111         6.504
FSNSC            218.364             217.858             0.506         7.871
FSNSC_ICE         47.124              51.927            -4.803        18.281
FSNSC_LAND       180.777             179.846             0.931         3.884
FSNT             233.626             237.403            -3.777         6.902
FSNTC            284.247             287.041            -2.795         7.742
ICEAREA           29.993              19.869            10.124         0.205
LHFLX             83.432              89.259            -5.827         8.274
LWCF              25.075              24.204             0.871         3.506
PRECT              2.850               3.059            -0.209         0.530
PRECT_LAND         2.068               2.210            -0.143         0.355
PRECT_OCEAN        3.382               3.568            -0.186         0.598
PREH2O            20.662              25.552            -4.890         5.520
PREH2O_OCEAN      24.723              29.889            -5.166         6.245
PSI_200           -0.019              -0.021             0.002         0.262
PS               984.912             985.392            -0.480         1.144
PSL             1011.229            1011.521            -0.292         1.054
QFLX               2.850               3.059            -0.209         0.269
SHFLX             20.179              18.638             1.541         3.854
SNOWHLND          12.204              11.174             1.030         8.064
SST               18.683              21.405            -2.721         2.787
STRESS_MAG         0.065               0.064             0.001         0.012
SWCF             -50.621             -49.638            -0.983         7.212
T_850            277.775             281.023            -3.248         3.304
TGCLDLWP          38.678              40.882            -2.204         9.056
TGCLDIWP          19.107              16.927             2.180         6.117
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.104            -0.007         0.016
AODDUST            0.021               0.022            -0.001         0.007
TREFHT           284.046             287.503            -3.457         3.746
TS               284.904             288.302            -3.398         3.734
TS_LAND          277.502             281.310            -3.808         3.964
U_200             15.318              15.836            -0.518         1.592
VT_850             0.253               0.137             0.116         0.741
Z3_500            55.777              56.512            -0.735         0.745
