DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             8.696               7.726             0.970         8.295
RESSURF            8.035               6.939             1.096        12.310
SOLIN            350.480             350.480             0.000         0.000
AAM            1.376e+26           1.387e+26        -1.058e+24      -999.000
CHI_200           -0.011              -0.009            -0.002         1.290
CLDHGH            38.648              38.425             0.222         4.648
CLDLOW            46.347              44.007             2.340         4.848
CLDMED            29.614              27.658             1.956         4.791
CLDTOT            66.554              64.410             2.144         4.995
EKE_850           27.239              25.805             1.434         3.662
EP             5.458e-03           5.824e-03        -3.664e-04         0.858
FLNS              57.738              54.564             3.175         6.005
FLNSC             86.484              80.225             6.258         8.151
FLNT             230.778             234.839            -4.061         7.378
FLNTC            255.227             258.251            -3.023         5.195
FSDS             196.940             194.472             2.468        12.379
FSDSC            260.584             256.703             3.881         4.493
FSNS             167.609             167.940            -0.330         9.879
FSNSC            225.722             225.006             0.716        10.624
FSNSC_ICE         33.864              22.482            11.382        10.226
FSNSC_LAND       143.249             143.048             0.201         5.328
FSNT             239.474             242.566            -3.092         9.553
FSNTC            291.796             294.410            -2.614        10.352
ICEAREA           25.468              18.925             6.544         0.159
LHFLX             83.323              89.568            -6.245        12.190
LWCF              24.449              23.412             1.038         4.722
PRECT              2.837               3.060            -0.223         0.779
PRECT_LAND         2.067               2.205            -0.138         0.542
PRECT_OCEAN        3.337               3.559            -0.222         0.882
PREH2O            19.792              24.489            -4.697         5.668
PREH2O_OCEAN      24.090              29.401            -5.311         6.424
PSI_200            0.011               0.007             0.004         0.327
PS               984.827             985.288            -0.461         1.668
PSL             1011.535            1011.776            -0.241         1.645
QFLX               2.843               3.066            -0.224         0.367
SHFLX             18.513              16.870             1.643         5.675
SNOWHLND          12.964              11.960             1.005         7.988
SST               18.361              21.107            -2.746         2.821
STRESS_MAG         0.069               0.069            -0.001         0.018
SWCF             -52.322             -51.844            -0.478        10.656
T_850            276.222             279.463            -3.241         3.350
TGCLDLWP          36.597              39.141            -2.544        11.162
TGCLDIWP          19.319              16.810             2.509         8.432
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.083               0.091            -0.008         0.020
AODDUST            0.012               0.013            -0.001         0.007
TREFHT           282.060             285.505            -3.445         3.853
TS               282.918             286.288            -3.370         3.846
TS_LAND          270.709             274.582            -3.873         4.191
U_200             16.035              16.203            -0.168         2.614
VT_850            -0.741              -0.824             0.083         1.506
Z3_500            55.541              56.280            -0.739         0.767
