DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -10.846              -9.779            -1.068         9.113
RESSURF          -11.763             -10.622            -1.141        12.879
SOLIN            330.417             330.417             0.000         0.000
AAM            1.039e+26           1.133e+26        -9.409e+24      -999.000
CHI_200            0.009               0.008             0.001         1.422
CLDHGH            38.101              37.909             0.191         4.590
CLDLOW            44.335              41.621             2.714         5.461
CLDMED            27.783              25.791             1.992         5.039
CLDTOT            64.827              62.542             2.285         5.100
EKE_850           27.111              25.515             1.596         3.821
EP             6.580e-03           7.836e-03        -1.256e-03         0.877
FLNS              58.604              55.474             3.130         5.388
FLNSC             87.449              80.977             6.471         7.847
FLNT             237.073             240.576            -3.503         6.928
FLNTC            262.857             265.308            -2.451         4.361
FSDS             177.739             177.102             0.637        10.017
FSDSC            240.305             236.653             3.652         4.248
FSNS             154.620             156.696            -2.076        10.871
FSNSC            211.174             210.817             0.357        12.115
FSNSC_ICE         31.681              39.827            -8.146        30.556
FSNSC_LAND       219.822             217.539             2.283         4.971
FSNT             226.227             230.797            -4.571        11.170
FSNTC            277.753             280.574            -2.822        12.070
ICEAREA           33.459              20.596            12.863         0.314
LHFLX             85.879              91.589            -5.709        11.069
LWCF              25.784              24.732             1.052         5.106
PRECT              2.932               3.135            -0.204         0.823
PRECT_LAND         2.204               2.339            -0.135         0.636
PRECT_OCEAN        3.451               3.610            -0.159         0.918
PREH2O            21.999              27.009            -5.010         5.692
PREH2O_OCEAN      25.464              30.283            -4.819         6.328
PSI_200           -0.050              -0.051             0.001         0.455
PS               985.043             985.535            -0.492         1.322
PSL             1010.995            1011.339            -0.344         1.269
QFLX               2.939               3.143            -0.205         0.330
SHFLX             21.900              20.256             1.644         6.553
SNOWHLND          11.170              10.229             0.941         8.302
SST               18.426              21.121            -2.695         2.769
STRESS_MAG         0.078               0.076             0.002         0.013
SWCF             -51.526             -49.777            -1.749         9.004
T_850            279.384             282.609            -3.225         3.282
TGCLDLWP          43.590              45.059            -1.468        11.066
TGCLDIWP          19.252              17.323             1.928         9.027
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.116               0.123            -0.007         0.023
AODDUST            0.030               0.032            -0.002         0.013
TREFHT           285.997             289.312            -3.314         3.618
TS               286.839             290.088            -3.249         3.625
TS_LAND          283.939             287.363            -3.424         3.541
U_200             13.005              13.955            -0.950         1.940
VT_850             1.306               1.105             0.201         1.248
Z3_500            56.075              56.795            -0.720         0.728
