DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.925               0.414             0.511         5.736
RESSURF           -0.874              -1.391             0.516         7.926
SOLIN            338.285             338.285             0.000         0.000
AAM            1.440e+26           1.452e+26        -1.272e+24      -999.000
CHI_200           -0.004              -0.004             0.000         1.078
CLDHGH            39.576              39.400             0.176         4.659
CLDLOW            43.060              41.056             2.004         4.577
CLDMED            28.994              26.930             2.064         4.952
CLDTOT            64.832              63.134             1.698         4.691
EKE_850           27.977              26.439             1.537         3.771
EP             9.996e-03           1.309e-02        -3.095e-03         0.807
FLNS              60.079              56.484             3.594         5.828
FLNSC             88.041              81.631             6.410         8.038
FLNT             233.099             236.492            -3.394         7.389
FLNTC            258.851             261.427            -2.576         4.618
FSDS             191.184             188.811             2.373         9.296
FSDSC            249.577             245.810             3.768         4.043
FSNS             163.518             163.634            -0.116         8.228
FSNSC            216.201             215.257             0.944         8.190
FSNSC_ICE         34.997              38.340            -3.343        10.534
FSNSC_LAND       192.431             192.737            -0.306         8.483
FSNT             234.024             236.906            -2.882         8.055
FSNTC            281.728             284.115            -2.387         8.026
ICEAREA           27.593              19.333             8.260         0.234
LHFLX             83.322              88.955            -5.633        10.167
LWCF              25.752              24.934             0.818         5.095
PRECT              2.834               3.034            -0.200         0.771
PRECT_LAND         2.029               2.155            -0.126         0.533
PRECT_OCEAN        3.352               3.539            -0.188         0.874
PREH2O            20.548              25.445            -4.897         5.696
PREH2O_OCEAN      24.593              29.780            -5.187         6.404
PSI_200           -0.012              -0.015             0.003         0.285
PS               984.901             985.381            -0.481         1.438
PSL             1011.223            1011.516            -0.293         1.409
QFLX               2.844               3.047            -0.203         0.310
SHFLX             20.992              19.585             1.407         5.038
SNOWHLND          13.336              12.138             1.198         7.972
SST               18.564              21.261            -2.697         2.781
STRESS_MAG         0.065               0.064             0.001         0.018
SWCF             -47.703             -47.208            -0.495         7.926
T_850            277.886             281.089            -3.202         3.279
TGCLDLWP          35.420              38.600            -3.180        10.564
TGCLDIWP          19.720              17.432             2.288         7.291
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.096               0.104            -0.008         0.020
AODDUST            0.025               0.028            -0.002         0.012
TREFHT           284.214             287.593            -3.379         3.693
TS               285.104             288.428            -3.324         3.700
TS_LAND          277.638             281.337            -3.700         3.898
U_200             16.893              17.108            -0.216         2.444
VT_850             0.138               0.092             0.047         1.175
Z3_500            55.751              56.486            -0.735         0.757
