DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.500               1.300            -0.800         8.321
RESSURF            3.863               4.711            -0.848         9.949
SOLIN            342.210             342.210             0.000         0.000
AAM            1.280e+26           1.367e+26        -8.706e+24      -999.000
CHI_200           -0.002               0.001            -0.003         0.920
CLDHGH            37.837              38.122            -0.285         4.096
CLDLOW            45.378              42.668             2.709         5.148
CLDMED            28.723              26.929             1.793         3.953
CLDTOT            65.104              63.059             2.045         4.563
EKE_850           28.093              26.558             1.535         3.254
EP            -2.251e-02          -2.685e-02         4.335e-03         0.685
FLNS              59.422              56.275             3.147         5.631
FLNSC             88.126              82.122             6.004         8.360
FLNT             234.342             238.041            -3.698         6.480
FLNTC            258.680             261.777            -3.097         5.591
FSDS             191.146             189.637             1.509        11.281
FSDSC            253.248             249.361             3.887         4.320
FSNS             163.902             165.758            -1.857         9.697
FSNSC            220.348             220.360            -0.012        14.014
FSNSC_ICE         46.990              47.004            -0.014         9.388
FSNSC_LAND       167.573             166.062             1.511         3.245
FSNT             234.842             239.341            -4.498         9.912
FSNTC            285.715             289.075            -3.360        13.681
ICEAREA           33.418              20.640            12.777         0.329
LHFLX             81.281              86.922            -5.642        10.034
LWCF              24.338              23.736             0.602         4.169
PRECT              2.800               3.007            -0.208         0.663
PRECT_LAND         1.969               2.147            -0.178         0.454
PRECT_OCEAN        3.365               3.506            -0.141         0.753
PREH2O            20.323              25.262            -4.939         5.621
PREH2O_OCEAN      24.555              29.413            -4.858         6.283
PSI_200           -0.024              -0.025             0.001         0.377
PS               984.879             985.363            -0.485         1.448
PSL             1011.169            1011.454            -0.285         1.395
QFLX               2.777               2.981            -0.203         0.318
SHFLX             19.335              17.849             1.486         5.301
SNOWHLND          11.338              10.374             0.964         8.535
SST               18.401              21.153            -2.752         2.813
STRESS_MAG         0.071               0.069             0.002         0.012
SWCF             -50.872             -49.734            -1.138        10.393
T_850            277.606             280.946            -3.340         3.427
TGCLDLWP          39.018              40.742            -1.724        10.904
TGCLDIWP          18.168              16.152             2.016         7.261
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.098            -0.005         0.017
AODDUST            0.016               0.017            -0.000         0.007
TREFHT           283.921             287.601            -3.680         4.286
TS               284.762             288.406            -3.643         4.355
TS_LAND          277.722             281.961            -4.239         4.607
U_200             15.333              16.065            -0.732         2.073
VT_850             0.305               0.173             0.133         1.158
Z3_500            55.741              56.486            -0.745         0.753
