DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -28.136             -28.572             0.437         4.731
RESSURF          -11.460             -11.425            -0.035         3.713
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.532              -0.089            -0.443         0.732
CLDHGH            35.935              36.243            -0.307         2.245
CLDLOW            46.804              44.395             2.409         3.807
CLDMED            32.103              29.832             2.270         2.953
CLDTOT            64.635              62.820             1.815         2.967
EKE_850           35.555              34.175             1.380         2.284
EP            -1.682e-02           1.663e-04        -1.698e-02         0.269
FLNS              62.805              61.120             1.685         3.542
FLNSC             92.272              88.478             3.794         5.916
FLNT             226.661             231.683            -5.022         5.863
FLNTC            247.061             251.665            -4.604         6.021
FSDS             170.455             168.622             1.832         6.637
FSDSC            224.196             220.793             3.404         3.496
FSNS             135.718             138.143            -2.425         6.243
FSNSC            182.660             184.017            -1.357         7.946
FSNSC_ICE         37.791              48.569           -10.778        19.945
FSNSC_LAND       167.974             168.566            -0.593         4.365
FSNT             198.525             203.110            -4.585         7.040
FSNTC            240.445             244.581            -4.136         8.438
ICEAREA           13.560              10.201             3.358         0.156
LHFLX             58.515              64.107            -5.592         7.628
LWCF              20.400              19.983             0.417         2.352
PRECT              1.996               2.179            -0.184         0.322
PRECT_LAND         1.513               1.693            -0.180         0.313
PRECT_OCEAN        2.796               2.944            -0.149         0.327
PREH2O            14.064              17.413            -3.349         3.597
PREH2O_OCEAN      19.580              23.526            -3.946         4.451
PSI_200           -6.915              -7.145             0.231         0.311
PS               975.926             976.669            -0.743         1.205
PSL             1016.307            1016.727            -0.420         0.877
QFLX               1.979               2.179            -0.201         0.264
SHFLX             25.857              24.340             1.517         4.215
SNOWHLND           6.691               4.741             1.950        10.745
SST               15.911              18.648            -2.736         2.806
STRESS_MAG         0.047               0.048            -0.001         0.007
SWCF             -41.919             -41.471            -0.448         5.710
T_850            273.382             276.903            -3.522         3.582
TGCLDLWP          33.265              35.982            -2.717         8.066
TGCLDIWP          18.463              16.898             1.566         4.768
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.081               0.086            -0.005         0.008
AODDUST            0.032               0.033            -0.001         0.005
TREFHT           277.903             281.993            -4.090         4.520
TS               278.611             282.676            -4.065         4.565
TS_LAND          274.857             279.056            -4.199         4.378
U_200             18.635              19.421            -0.786         1.667
VT_850             0.308               0.259             0.048         0.738
Z3_500            55.318              56.091            -0.772         0.778
