DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -105.008            -109.232             4.224         6.732
RESSURF          -77.174             -80.167             2.993        14.111
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.659               4.174            -0.515         1.180
CLDHGH            35.340              35.524            -0.184         3.995
CLDLOW            53.310              50.381             2.929         4.894
CLDMED            38.149              35.712             2.437         5.084
CLDTOT            69.426              66.996             2.431         4.601
EKE_850           44.047              42.534             1.512         3.768
EP             1.012e-01           1.495e-01        -4.830e-02         0.467
FLNS              60.067              59.469             0.599         4.742
FLNSC             89.637              87.348             2.289         6.167
FLNT             208.230             214.787            -6.558         7.784
FLNTC            226.471             232.567            -6.096         7.897
FSDS              90.545              90.153             0.392         4.728
FSDSC            117.941             116.256             1.685         2.057
FSNS              70.899              72.210            -1.311         4.418
FSNSC             93.896              94.301            -0.405         4.987
FSNSC_ICE          2.285               1.170             1.116         0.759
FSNSC_LAND        75.266              77.164            -1.899         6.497
FSNT             103.222             105.555            -2.334         4.612
FSNTC            124.380             126.146            -1.766         5.084
ICEAREA           15.720              13.179             2.541         0.154
LHFLX             63.179              70.132            -6.953        12.735
LWCF              18.241              17.780             0.461         3.497
PRECT              1.995               2.191            -0.196         0.463
PRECT_LAND         0.943               1.091            -0.148         0.362
PRECT_OCEAN        3.515               3.700            -0.184         0.545
PREH2O             9.236              11.490            -2.254         2.734
PREH2O_OCEAN      15.207              18.201            -2.995         3.765
PSI_200           -8.402              -8.420             0.018         0.357
PS               975.646             976.786            -1.140         2.060
PSL             1017.665            1018.392            -0.726         1.858
QFLX               2.096               2.341            -0.244         0.420
SHFLX             24.828              22.777             2.050         8.472
SNOWHLND           8.209               6.307             1.901        10.608
SST               14.312              16.995            -2.683         2.744
STRESS_MAG         0.072               0.076            -0.004         0.017
SWCF             -21.158             -20.591            -0.567         3.964
T_850            265.946             269.662            -3.716         3.893
TGCLDLWP          21.449              24.120            -2.671         8.271
TGCLDIWP          21.528              18.901             2.628        10.457
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.050               0.056            -0.005         0.010
AODDUST            0.010               0.011            -0.000         0.005
TREFHT           267.877             272.448            -4.570         5.229
TS               268.746             273.265            -4.518         5.297
TS_LAND          258.802             263.438            -4.637         4.974
U_200             24.863              25.554            -0.691         2.920
VT_850             0.491               0.427             0.064         1.903
Z3_500            53.976              54.808            -0.831         0.862
