DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            49.415              53.957            -4.542        14.748
RESSURF           55.061              60.006            -4.945        15.698
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.868              -4.233            -0.634         1.384
CLDHGH            35.946              36.040            -0.094         3.767
CLDLOW            43.311              41.617             1.694         5.068
CLDMED            25.084              22.850             2.235         3.562
CLDTOT            61.689              60.262             1.427         4.291
EKE_850           19.546              18.784             0.762         2.211
EP            -1.702e-01          -2.005e-01         3.023e-02         0.506
FLNS              61.393              58.706             2.687         4.968
FLNSC             91.668              85.612             6.056         6.906
FLNT             245.963             249.272            -3.309         4.894
FLNTC            268.443             271.020            -2.576         3.506
FSDS             244.676             242.291             2.385        13.288
FSDSC            330.515             325.575             4.940         5.491
FSNS             199.011             203.863            -4.852        15.994
FSNSC            275.311             278.424            -3.114        20.329
FSNSC_ICE         89.678             123.123           -33.445        54.752
FSNSC_LAND       265.961             263.971             1.990         5.619
FSNT             295.378             303.229            -7.850        16.588
FSNTC            363.179             370.265            -7.085        20.694
ICEAREA           11.010               7.475             3.535         0.203
LHFLX             54.743              58.658            -3.914         7.519
LWCF              22.480              21.748             0.732         2.758
PRECT              2.071               2.247            -0.176         0.509
PRECT_LAND         2.296               2.543            -0.247         0.624
PRECT_OCEAN        2.049               2.117            -0.067         0.384
PREH2O            20.345              24.943            -4.598         4.892
PREH2O_OCEAN      24.902              29.672            -4.770         5.542
PSI_200           -4.487              -4.985             0.498         0.545
PS               975.461             976.290            -0.829         1.326
PSL             1014.308            1014.948            -0.641         1.178
QFLX               1.901               2.047            -0.146         0.240
SHFLX             27.813              26.494             1.320         3.967
SNOWHLND           4.638               2.869             1.769        11.091
SST               16.866              19.635            -2.770         2.857
STRESS_MAG         0.053               0.048             0.005         0.009
SWCF             -67.801             -67.036            -0.765        11.384
T_850            281.635             284.908            -3.274         3.276
TGCLDLWP          51.076              53.210            -2.134        12.208
TGCLDIWP          16.295              15.917             0.378         3.447
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.116               0.119            -0.003         0.014
AODDUST            0.055               0.054             0.001         0.012
TREFHT           287.863             291.092            -3.229         3.355
TS               288.406             291.598            -3.193         3.343
TS_LAND          290.318             293.671            -3.353         3.471
U_200             10.998              11.703            -0.705         1.644
VT_850             0.089               0.076             0.013         1.140
Z3_500            56.786              57.514            -0.729         0.733
