DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            13.722              13.957            -0.235         7.257
RESSURF           15.761              16.171            -0.410         8.269
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.019               1.577            -0.558         0.969
CLDHGH            37.315              37.321            -0.006         3.242
CLDLOW            44.906              42.488             2.417         4.399
CLDMED            33.498              31.102             2.396         3.888
CLDTOT            64.695              62.926             1.769         3.663
EKE_850           34.454              32.989             1.465         3.433
EP             2.052e-03           4.084e-02        -3.878e-02         0.372
FLNS              65.872              64.238             1.634         4.459
FLNSC             95.675              91.989             3.687         5.411
FLNT             222.531             227.533            -5.002         6.105
FLNTC            244.221             248.500            -4.279         5.528
FSDS             216.042             212.609             3.433        10.600
FSDSC            277.319             272.987             4.332         4.666
FSNS             162.740             165.225            -2.485         8.957
FSNSC            215.701             217.778            -2.077        12.601
FSNSC_ICE         44.256              44.829            -0.574        10.540
FSNSC_LAND       197.604             200.371            -2.767        11.224
FSNT             236.253             241.490            -5.237         9.462
FSNTC            282.350             287.828            -5.478        13.059
ICEAREA           15.997              13.650             2.347         0.143
LHFLX             52.358              57.226            -4.869         8.560
LWCF              21.690              20.967             0.723         2.855
PRECT              1.757               1.893            -0.136         0.368
PRECT_LAND         1.390               1.529            -0.139         0.369
PRECT_OCEAN        2.435               2.542            -0.107         0.381
PREH2O            11.905              14.693            -2.787         3.070
PREH2O_OCEAN      16.993              20.148            -3.155         3.722
PSI_200           -8.300              -8.356             0.056         0.310
PS               976.379             977.128            -0.749         1.500
PSL             1016.690            1017.128            -0.438         1.285
QFLX               1.759               1.934            -0.175         0.287
SHFLX             28.750              27.590             1.160         4.695
SNOWHLND           8.928               6.675             2.254        10.410
SST               14.199              16.846            -2.647         2.747
STRESS_MAG         0.044               0.047            -0.003         0.013
SWCF             -46.097             -46.338             0.241         8.784
T_850            271.964             275.410            -3.447         3.564
TGCLDLWP          28.618              32.026            -3.408         9.595
TGCLDIWP          19.952              17.997             1.955         5.315
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.096            -0.010         0.019
AODDUST            0.042               0.047            -0.004         0.016
TREFHT           276.963             280.748            -3.785         4.129
TS               277.647             281.412            -3.765         4.164
TS_LAND          275.428             279.433            -4.004         4.257
U_200             20.548              21.338            -0.790         2.770
VT_850             0.480               0.410             0.070         1.506
Z3_500            55.007              55.767            -0.760         0.783
