DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -70.686             -72.996             2.310         5.778
RESSURF          -39.617             -41.705             2.088        11.815
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.964              -1.860            -0.104         0.612
CLDHGH            35.203              36.042            -0.839         3.474
CLDLOW            45.672              43.133             2.540         5.090
CLDMED            31.679              29.676             2.003         3.453
CLDTOT            62.747              61.105             1.642         4.125
EKE_850           32.688              31.002             1.685         3.479
EP             4.174e-03           9.940e-03        -5.766e-03         0.408
FLNS              63.890              62.022             1.869         5.338
FLNSC             92.115              88.929             3.186         8.640
FLNT             229.922             235.161            -5.239         7.129
FLNTC            249.121             254.579            -5.458         8.442
FSDS             130.579             129.430             1.150         6.450
FSDSC            171.015             168.347             2.668         2.820
FSNS             110.217             111.268            -1.051         5.476
FSNSC            145.712             145.559             0.153         5.160
FSNSC_ICE          8.751               9.649            -0.898         6.882
FSNSC_LAND       133.016             132.753             0.264         2.830
FSNT             159.236             162.166            -2.930         5.703
FSNTC            191.844             194.084            -2.240         5.136
ICEAREA           11.491               6.515             4.976         0.346
LHFLX             63.868              70.437            -6.569        10.924
LWCF              19.199              19.418            -0.219         3.408
PRECT              2.157               2.386            -0.229         0.454
PRECT_LAND         1.421               1.613            -0.192         0.384
PRECT_OCEAN        3.189               3.346            -0.157         0.501
PREH2O            14.751              18.537            -3.785         4.103
PREH2O_OCEAN      21.115              25.081            -3.965         5.098
PSI_200           -6.471              -6.818             0.347         0.429
PS               976.224             976.441            -0.217         1.866
PSL             1016.568            1016.409             0.159         1.809
QFLX               2.161               2.396            -0.235         0.363
SHFLX             22.076              20.515             1.561         6.897
SNOWHLND           4.970               3.118             1.852        11.597
SST               17.230              20.059            -2.828         2.886
STRESS_MAG         0.055               0.052             0.003         0.011
SWCF             -32.608             -31.918            -0.690         5.598
T_850            273.971             277.677            -3.705         3.818
TGCLDLWP          31.915              34.571            -2.655        10.137
TGCLDIWP          16.128              14.762             1.365         6.696
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.072               0.075            -0.003         0.011
AODDUST            0.022               0.021             0.001         0.008
TREFHT           278.904             283.684            -4.781         5.843
TS               279.638             284.430            -4.792         6.042
TS_LAND          274.869             279.686            -4.817         5.296
U_200             18.169              19.053            -0.884         1.751
VT_850             0.156               0.106             0.050         1.232
Z3_500            55.502              56.270            -0.767         0.775
