DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -23.902             -23.073            -0.829         5.316
RESSURF           -5.171              -5.246             0.075         3.090
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.106               0.664             0.443         0.593
CLDHGH            34.850              35.356            -0.506         1.905
CLDLOW            56.142              51.974             4.168         5.638
CLDMED            34.132              31.336             2.796         4.088
CLDTOT            70.246              67.066             3.180         4.608
EKE_850           43.854              41.052             2.802         3.953
EP             8.946e-02           1.157e-01        -2.624e-02         0.289
FLNS              56.535              54.307             2.228         4.294
FLNSC             93.242              87.837             5.404         6.593
FLNT             222.295             226.667            -4.372         4.926
FLNTC            243.595             247.413            -3.818         4.563
FSDS             167.776             166.323             1.453        10.537
FSDSC            227.431             223.565             3.866         4.076
FSNS             137.631             140.658            -3.026         7.103
FSNSC            191.096             192.350            -1.255        10.608
FSNSC_ICE         56.427              56.432            -0.005        15.776
FSNSC_LAND       121.499             120.131             1.367         2.317
FSNT             198.393             203.593            -5.201         7.931
FSNTC            245.689             249.888            -4.199        10.696
ICEAREA           16.434               9.668             6.766         0.241
LHFLX             69.356              76.949            -7.592         9.085
LWCF              21.300              20.746             0.554         2.897
PRECT              2.239               2.487            -0.248         0.365
PRECT_LAND         1.193               1.353            -0.161         0.264
PRECT_OCEAN        2.628               2.828            -0.200         0.340
PREH2O            13.425              17.042            -3.617         3.957
PREH2O_OCEAN      15.975              19.447            -3.472         4.302
PSI_200            7.570               7.762            -0.193         0.312
PS               982.447             982.621            -0.174         1.444
PSL             1007.061            1007.040             0.021         1.508
QFLX               2.328               2.603            -0.274         0.321
SHFLX             16.911              14.648             2.263         4.489
SNOWHLND          47.586              47.379             0.207         5.837
SST               12.922              16.033            -3.111         3.169
STRESS_MAG         0.085               0.086            -0.001         0.017
SWCF             -47.297             -46.295            -1.002         9.591
T_850            271.586             275.046            -3.460         3.489
TGCLDLWP          34.926              38.135            -3.209        12.218
TGCLDIWP          19.205              16.090             3.115         7.503
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.069               0.081            -0.012         0.018
AODDUST            0.003               0.002             0.000         0.002
TREFHT           276.875             280.641            -3.765         3.938
TS               277.656             281.340            -3.685         3.892
TS_LAND          259.017             262.902            -3.885         3.963
U_200             24.860              25.905            -1.045         1.861
VT_850            -0.329              -0.275            -0.054         0.668
Z3_500            54.076              54.829            -0.753         0.772
