DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            75.093              77.467            -2.373        11.249
RESSURF           84.623              85.355            -0.733        14.114
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.005              -3.527             0.522         1.121
CLDHGH            34.092              34.588            -0.495         3.177
CLDLOW            55.016              52.024             2.993         5.413
CLDMED            30.246              27.509             2.737         4.448
CLDTOT            68.985              66.744             2.241         4.742
EKE_850           29.902              27.310             2.592         4.440
EP             2.534e-02           2.953e-02        -4.195e-03         0.507
FLNS              54.251              50.924             3.327         6.227
FLNSC             91.551              84.643             6.908         7.772
FLNT             233.112             236.394            -3.282         4.911
FLNTC            253.381             256.164            -2.783         3.507
FSDS             267.978             263.142             4.835        18.275
FSDSC            358.949             353.268             5.681         5.958
FSNS             215.213             217.243            -2.030        13.364
FSNSC            298.309             300.009            -1.699        17.491
FSNSC_ICE        106.577             111.412            -4.836        23.206
FSNSC_LAND       179.861             178.100             1.760         2.887
FSNT             308.206             313.860            -5.655        13.262
FSNTC            380.330             386.514            -6.184        17.495
ICEAREA            9.748               5.746             4.003         0.164
LHFLX             62.820              69.301            -6.481        10.573
LWCF              20.269              19.770             0.499         2.696
PRECT              2.105               2.338            -0.233         0.497
PRECT_LAND         1.967               2.177            -0.210         0.509
PRECT_OCEAN        2.234               2.439            -0.205         0.507
PREH2O            16.362              20.750            -4.388         4.931
PREH2O_OCEAN      18.052              22.383            -4.330         5.121
PSI_200            7.069               7.042             0.027         0.354
PS               982.954             982.944             0.010         1.965
PSL             1007.127            1006.911             0.216         2.124
QFLX               2.130               2.368            -0.238         0.343
SHFLX             13.520              11.663             1.856         3.683
SNOWHLND          47.521              47.318             0.203         5.967
SST               13.373              16.527            -3.154         3.219
STRESS_MAG         0.074               0.076            -0.002         0.023
SWCF             -72.125             -72.654             0.529        15.602
T_850            274.595             277.903            -3.308         3.338
TGCLDLWP          40.515              43.994            -3.479        13.912
TGCLDIWP          15.047              12.531             2.516         5.450
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.072               0.082            -0.011         0.019
AODDUST            0.003               0.003             0.001         0.003
TREFHT           281.063             284.349            -3.286         3.355
TS               281.679             284.885            -3.206         3.293
TS_LAND          269.391             272.840            -3.449         3.533
U_200             19.844              20.906            -1.062         2.826
VT_850            -0.170              -0.143            -0.028         1.329
Z3_500            54.785              55.511            -0.726         0.767
