DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -114.325            -116.084             1.759         4.208
RESSURF          -86.712             -89.066             2.354        14.653
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            5.541               4.843             0.698         0.882
CLDHGH            34.388              35.109            -0.721         3.318
CLDLOW            57.988              52.394             5.595         7.238
CLDMED            37.507              34.965             2.542         5.233
CLDTOT            71.547              67.377             4.170         5.984
EKE_850           55.046              51.204             3.842         6.144
EP             1.236e-01           1.683e-01        -4.467e-02         0.416
FLNS              58.300              57.122             1.177         4.316
FLNSC             94.906              90.896             4.010         6.689
FLNT             212.629             217.796            -5.167         6.242
FLNTC            234.925             239.590            -4.666         6.267
FSDS              75.883              77.117            -1.234         5.813
FSDSC            106.369             104.379             1.990         2.271
FSNS              67.219              69.698            -2.479         4.810
FSNSC             93.564              93.420             0.144         4.965
FSNSC_ICE          4.889               2.156             2.734         0.422
FSNSC_LAND        70.149              69.588             0.561         2.984
FSNT              98.304             101.712            -3.409         5.336
FSNTC            122.900             124.235            -1.335         4.807
ICEAREA           22.449              13.121             9.328         0.386
LHFLX             75.579              84.378            -8.799        12.634
LWCF              22.296              21.794             0.502         4.693
PRECT              2.399               2.669            -0.270         0.493
PRECT_LAND         0.695               0.785            -0.090         0.272
PRECT_OCEAN        3.015               3.207            -0.192         0.475
PREH2O            10.761              13.621            -2.861         3.126
PREH2O_OCEAN      13.553              16.143            -2.590         3.540
PSI_200            7.283               7.774            -0.490         0.541
PS               982.584             982.542             0.042         1.703
PSL             1007.557            1007.313             0.244         1.725
QFLX               2.523               2.838            -0.315         0.426
SHFLX             20.052              17.264             2.789        10.105
SNOWHLND          47.638              47.414             0.223         5.862
SST               11.728              14.766            -3.037         3.104
STRESS_MAG         0.094               0.099            -0.004         0.016
SWCF             -24.597             -22.523            -2.073         5.689
T_850            268.674             272.263            -3.589         3.683
TGCLDLWP          29.538              32.939            -3.401        12.559
TGCLDIWP          23.967              20.099             3.868        13.434
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.065               0.079            -0.014         0.020
AODDUST            0.002               0.002             0.000         0.001
TREFHT           273.140             277.306            -4.165         4.643
TS               274.076             278.147            -4.071         4.699
TS_LAND          250.809             254.812            -4.003         4.146
U_200             29.142              30.169            -1.028         2.192
VT_850            -0.515              -0.415            -0.101         1.268
Z3_500            53.464              54.207            -0.742         0.761
