DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -69.994             -71.493             1.499         4.606
RESSURF          -44.828             -46.801             1.973         8.567
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.407              -0.967             0.560         0.780
CLDHGH            35.996              36.188            -0.192         3.159
CLDLOW            53.842              50.595             3.247         5.684
CLDMED            34.574              31.314             3.260         5.277
CLDTOT            69.257              66.528             2.729         4.959
EKE_850           42.179              38.629             3.550         5.296
EP             9.399e-02           1.091e-01        -1.514e-02         0.441
FLNS              56.049              53.241             2.808         5.485
FLNSC             91.704              85.873             5.830         8.039
FLNT             222.817             227.292            -4.476         5.698
FLNTC            245.056             248.941            -3.885         5.273
FSDS             119.015             118.483             0.532         7.243
FSDSC            165.572             162.621             2.951         3.120
FSNS             105.527             106.651            -1.125         6.273
FSNSC            147.155             146.214             0.940         5.752
FSNSC_ICE         21.046              18.850             2.196        10.516
FSNSC_LAND        95.622              94.425             1.197         1.772
FSNT             152.823             155.799            -2.977         6.430
FSNTC            190.897             192.450            -1.553         5.367
ICEAREA           11.597               5.683             5.914         0.317
LHFLX             77.461              85.747            -8.286        10.442
LWCF              22.239              21.649             0.591         3.542
PRECT              2.515               2.799            -0.284         0.517
PRECT_LAND         1.087               1.316            -0.229         0.393
PRECT_OCEAN        2.952               3.177            -0.226         0.515
PREH2O            14.685              18.798            -4.113         4.563
PREH2O_OCEAN      17.009              20.925            -3.915         4.866
PSI_200            8.246               8.180             0.066         0.311
PS               982.255             982.607            -0.351         1.957
PSL             1006.987            1007.135            -0.149         2.067
QFLX               2.609               2.909            -0.299         0.354
SHFLX             16.844              14.464             2.380         6.290
SNOWHLND          47.548              47.271             0.278         6.750
SST               13.423              16.568            -3.145         3.202
STRESS_MAG         0.086               0.088            -0.002         0.025
SWCF             -38.075             -36.651            -1.424         6.511
T_850            272.669             276.125            -3.456         3.490
TGCLDLWP          35.051              39.005            -3.954        13.547
TGCLDIWP          19.563              16.381             3.182         8.055
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.072               0.083            -0.011         0.018
AODDUST            0.002               0.001             0.000         0.001
TREFHT           277.736             281.634            -3.898         4.235
TS               278.599             282.422            -3.823         4.254
TS_LAND          256.750             260.616            -3.867         3.974
U_200             24.245              25.036            -0.791         2.607
VT_850            -0.284              -0.217            -0.067         1.150
Z3_500            54.259              55.049            -0.790         0.824
