DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            13.807              17.799            -3.992        12.181
RESSURF           26.366              29.516            -3.150        11.119
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.329               2.305             0.024         0.870
CLDHGH            34.900              35.521            -0.622         3.241
CLDLOW            57.698              52.887             4.811         6.458
CLDMED            34.230              31.556             2.674         4.403
CLDTOT            71.172              67.611             3.561         5.424
EKE_850           41.949              39.782             2.168         3.958
EP             1.129e-01           1.567e-01        -4.377e-02         0.319
FLNS              57.574              55.947             1.627         4.558
FLNSC             94.828              89.945             4.883         5.912
FLNT             220.637             225.213            -4.577         5.409
FLNTC            241.044             244.977            -3.933         4.568
FSDS             208.404             206.556             1.848        16.565
FSDSC            278.830             273.995             4.834         5.467
FSNS             162.783             169.043            -6.260        13.891
FSNSC            225.393             229.761            -4.368        23.795
FSNSC_ICE         66.355              61.189             5.166        10.179
FSNSC_LAND       140.354             138.405             1.949         3.467
FSNT             234.444             243.012            -8.568        14.588
FSNTC            288.675             296.360            -7.685        23.538
ICEAREA           21.926              14.125             7.801         0.319
LHFLX             61.565              68.360            -6.795         9.824
LWCF              20.407              19.763             0.644         3.345
PRECT              1.939               2.139            -0.201         0.369
PRECT_LAND         1.019               1.134            -0.115         0.308
PRECT_OCEAN        2.289               2.448            -0.158         0.347
PREH2O            11.891              14.994            -3.103         3.397
PREH2O_OCEAN      14.549              17.374            -2.825         3.692
PSI_200            7.686               8.049            -0.363         0.464
PS               982.046             982.420            -0.374         1.411
PSL             1006.633            1006.827            -0.195         1.368
QFLX               2.052               2.296            -0.245         0.344
SHFLX             17.278              15.220             2.058         5.331
SNOWHLND          47.633              47.515             0.118         4.903
SST               11.595              14.680            -3.085         3.148
STRESS_MAG         0.093               0.095            -0.001         0.014
SWCF             -54.231             -53.348            -0.883        15.599
T_850            270.407             273.900            -3.493         3.534
TGCLDLWP          34.381              36.581            -2.201        13.133
TGCLDIWP          18.256              15.341             2.915         8.582
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.067               0.081            -0.013         0.020
AODDUST            0.004               0.004             0.000         0.002
TREFHT           275.569             279.277            -3.708         3.858
TS               276.280             279.912            -3.632         3.817
TS_LAND          259.149             263.364            -4.215         4.294
U_200             26.198              27.478            -1.280         2.240
VT_850            -0.355              -0.318            -0.037         1.202
Z3_500            53.801              54.553            -0.752         0.767
