DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            46.549              46.523             0.025         3.993
RESSURF           14.561              14.833            -0.272         3.231
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.527              -0.524            -0.003         0.798
CLDHGH            44.210              43.293             0.918         4.001
CLDLOW            32.682              31.738             0.944         2.771
CLDMED            20.915              20.021             0.894         3.796
CLDTOT            61.500              60.279             1.221         3.360
EKE_850           15.524              15.020             0.503         2.442
EP            -6.595e-02          -1.052e-01         3.923e-02         0.817
FLNS              57.679              52.062             5.617         6.336
FLNSC             78.065              68.714             9.351         9.628
FLNT             250.751             252.534            -1.783         6.175
FLNTC            283.475             283.689            -0.214         1.994
FSDS             225.671             223.782             1.889         6.554
FSDSC            296.414             292.307             4.107         4.207
FSNS             208.969             207.157             1.812         6.161
FSNSC            275.373             271.587             3.786         3.884
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.460             242.866             3.594         3.751
FSNT             297.299             299.057            -1.758         5.663
FSNTC            358.808             359.116            -0.308         0.648
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            118.732             123.173            -4.441         8.063
LWCF              32.724              31.155             1.569         4.684
PRECT              4.176               4.374            -0.198         0.758
PRECT_LAND         3.662               3.723            -0.061         0.464
PRECT_OCEAN        4.314               4.558            -0.244         0.830
PREH2O            33.187              40.624            -7.438         7.729
PREH2O_OCEAN      34.702              42.581            -7.878         8.124
PSI_200           -0.645              -0.617            -0.028         0.131
PS               995.278             995.797            -0.519         0.690
PSL             1010.406            1010.866            -0.459         0.604
QFLX               4.111               4.269            -0.159         0.217
SHFLX             17.998              17.089             0.909         2.724
SNOWHLND           0.000               0.000             0.000         0.000
SST               24.652              27.051            -2.398         2.424
STRESS_MAG         0.058               0.053             0.005         0.009
SWCF             -61.509             -60.059            -1.450         5.779
T_850            286.821             289.659            -2.838         2.864
TGCLDLWP          46.974              47.805            -0.831         6.040
TGCLDIWP          19.601              17.712             1.889         5.799
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.136               0.140            -0.004         0.019
AODDUST            0.027               0.030            -0.003         0.010
TREFHT           296.099             298.703            -2.604         2.631
TS               297.163             299.698            -2.534         2.572
TS_LAND          294.852             297.883            -3.031         3.052
U_200              3.675               3.474             0.201         1.213
VT_850             0.703               0.385             0.318         0.801
Z3_500            57.731              58.417            -0.686         0.686
