DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            51.523              50.473             1.050         6.150
RESSURF           15.841              14.806             1.035         8.080
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.622              -0.610            -0.012         1.509
CLDHGH            45.766              44.526             1.240         6.093
CLDLOW            32.197              30.979             1.218         4.223
CLDMED            21.314              20.501             0.813         4.817
CLDTOT            61.754              59.957             1.797         5.532
EKE_850           10.571              10.178             0.392         2.709
EP            -9.921e-02          -1.457e-01         4.649e-02         1.279
FLNS              58.787              53.418             5.369         6.773
FLNSC             79.041              69.777             9.264         9.881
FLNT             249.078             251.585            -2.507         8.735
FLNTC            282.932             283.391            -0.460         2.875
FSDS             228.949             226.745             2.203        10.398
FSDSC            300.668             296.430             4.239         4.558
FSNS             212.066             209.970             2.096         9.746
FSNSC            279.351             275.434             3.917         4.212
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       250.341             247.127             3.213         3.908
FSNT             300.601             302.059            -1.457         8.834
FSNTC            363.208             363.357            -0.149         0.835
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            120.121             125.511            -5.390        13.025
LWCF              33.853              31.806             2.047         6.710
PRECT              4.262               4.501            -0.239         1.135
PRECT_LAND         4.194               4.268            -0.074         0.784
PRECT_OCEAN        4.253               4.540            -0.288         1.221
PREH2O            32.453              39.641            -7.188         7.844
PREH2O_OCEAN      33.988              41.773            -7.784         8.270
PSI_200            1.238               1.267            -0.029         0.268
PS               994.833             995.106            -0.273         0.698
PSL             1009.975            1010.191            -0.216         0.626
QFLX               4.163               4.355            -0.192         0.334
SHFLX             17.316              16.235             1.081         3.641
SNOWHLND           0.000               0.000             0.000         0.000
SST               24.627              27.044            -2.417         2.460
STRESS_MAG         0.062               0.060             0.003         0.011
SWCF             -62.606             -61.298            -1.308         9.196
T_850            286.412             289.199            -2.787         2.815
TGCLDLWP          46.764              48.346            -1.582        10.632
TGCLDIWP          21.187              18.791             2.396         8.601
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.123               0.131            -0.008         0.026
AODDUST            0.022               0.025            -0.003         0.011
TREFHT           295.801             298.373            -2.571         2.602
TS               296.870             299.348            -2.478         2.520
TS_LAND          293.713             296.452            -2.739         2.765
U_200              4.595               3.480             1.115         2.062
VT_850            -2.285              -2.479             0.195         1.242
Z3_500            57.642              58.310            -0.669         0.670
