DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            28.279              28.761            -0.482         4.527
RESSURF           -4.408              -3.547            -0.860         6.980
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.585              -0.529            -0.056         1.802
CLDHGH            43.412              42.137             1.275         6.033
CLDLOW            32.902              31.873             1.030         3.625
CLDMED            21.424              20.148             1.275         5.924
CLDTOT            61.584              60.229             1.355         4.900
EKE_850            9.651               9.301             0.350         1.748
EP             6.066e-02           5.112e-02         9.538e-03         1.332
FLNS              56.354              51.055             5.299         6.511
FLNSC             76.877              67.801             9.076         9.453
FLNT             251.154             253.326            -2.172         8.829
FLNTC            283.088             283.419            -0.332         2.602
FSDS             209.352             208.604             0.748         9.570
FSDSC            279.890             275.900             3.989         4.331
FSNS             193.557             192.755             0.802         8.923
FSNSC            259.585             255.891             3.693         4.012
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       232.997             228.960             4.037         4.716
FSNT             279.433             282.087            -2.654         8.705
FSNTC            340.604             340.911            -0.307         0.908
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            123.391             127.929            -4.538        12.193
LWCF              31.934              30.093             1.841         6.816
PRECT              4.194               4.361            -0.168         1.204
PRECT_LAND         3.031               2.990             0.041         0.808
PRECT_OCEAN        4.533               4.776            -0.243         1.306
PREH2O            33.669              40.999            -7.330         7.782
PREH2O_OCEAN      35.360              43.147            -7.787         8.191
PSI_200           -2.672              -2.668            -0.004         0.218
PS               995.944             996.614            -0.670         0.833
PSL             1011.108            1011.716            -0.608         0.758
QFLX               4.255               4.413            -0.158         0.301
SHFLX             18.219              17.318             0.901         3.743
SNOWHLND           0.000               0.000             0.000         0.000
SST               24.537              26.922            -2.384         2.420
STRESS_MAG         0.079               0.072             0.007         0.012
SWCF             -61.171             -58.824            -2.347         9.013
T_850            286.630             289.490            -2.860         2.903
TGCLDLWP          49.536              48.651             0.885         8.152
TGCLDIWP          17.660              16.084             1.576         7.410
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.162               0.166            -0.004         0.031
AODDUST            0.033               0.038            -0.005         0.018
TREFHT           295.948             298.569            -2.621         2.662
TS               296.975             299.530            -2.555         2.614
TS_LAND          294.384             297.550            -3.166         3.214
U_200              0.213               1.313            -1.101         1.944
VT_850             3.895               3.280             0.615         1.317
Z3_500            57.796              58.486            -0.691         0.691
