DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            53.544              53.251             0.293         5.058
RESSURF           23.857              23.821             0.036         6.945
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.564              -0.564            -0.000         1.366
CLDHGH            44.864              44.189             0.675         6.517
CLDLOW            31.628              31.125             0.503         3.478
CLDMED            19.864              19.184             0.680         5.480
CLDTOT            60.951              60.250             0.701         5.240
EKE_850           10.301              10.422            -0.122         2.117
EP            -5.886e-02          -9.897e-02         4.012e-02         1.236
FLNS              58.481              52.401             6.080         7.088
FLNSC             77.813              68.413             9.400         9.828
FLNT             251.974             252.932            -0.958         9.503
FLNTC            284.584             284.433             0.151         2.663
FSDS             234.014             230.934             3.080         9.679
FSDSC            300.513             296.517             3.996         4.174
FSNS             216.722             213.779             2.943         9.057
FSNSC            279.162             275.480             3.682         3.848
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.954             245.504             3.449         3.767
FSNT             305.519             306.183            -0.665         7.991
FSNTC            363.394             363.737            -0.343         0.769
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.659             120.582            -3.923        11.202
LWCF              32.610              31.500             1.109         7.364
PRECT              4.097               4.278            -0.181         1.144
PRECT_LAND         3.822               3.856            -0.034         0.801
PRECT_OCEAN        4.161               4.391            -0.230         1.231
PREH2O            33.679              41.196            -7.516         7.988
PREH2O_OCEAN      35.130              43.056            -7.926         8.362
PSI_200            0.015               0.118            -0.103         0.230
PS               995.010             995.365            -0.355         0.553
PSL             1010.108            1010.401            -0.293         0.464
QFLX               4.038               4.179            -0.141         0.287
SHFLX             17.725              16.975             0.750         3.948
SNOWHLND           0.000               0.000             0.000         0.000
SST               25.130              27.454            -2.324         2.364
STRESS_MAG         0.056               0.051             0.005         0.011
SWCF             -57.875             -57.554            -0.322         8.268
T_850            287.402             290.182            -2.780         2.805
TGCLDLWP          41.911              44.185            -2.274         8.010
TGCLDIWP          19.653              17.872             1.780         8.070
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.128               0.130            -0.002         0.022
AODDUST            0.032               0.034            -0.002         0.013
TREFHT           296.642             299.184            -2.543         2.582
TS               297.744             300.217            -2.474         2.529
TS_LAND          295.797             298.818            -3.021         3.061
U_200              6.927               6.102             0.825         1.919
VT_850             0.208               0.084             0.125         0.822
Z3_500            57.775              58.438            -0.663         0.663
