DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 21-30)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 21-30)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            52.898              53.623            -0.725         5.482
RESSURF           22.855              24.277            -1.422         6.318
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.335              -0.399             0.064         1.163
CLDHGH            42.881              42.360             0.521         5.169
CLDLOW            33.958              32.997             0.961         3.643
CLDMED            21.061              20.255             0.807         3.946
CLDTOT            61.744              60.706             1.038         4.060
EKE_850           12.317              11.444             0.873         2.227
EP            -1.693e-01          -2.263e-01         5.703e-02         1.037
FLNS              57.050              51.371             5.679         6.672
FLNSC             78.449              68.879             9.570         9.860
FLNT             250.752             252.261            -1.508         6.747
FLNTC            283.301             283.503            -0.202         2.113
FSDS             230.353             228.825             1.528         8.461
FSDSC            304.536             300.403             4.134         4.267
FSNS             213.515             212.115             1.400         7.902
FSNSC            283.351             279.568             3.783         3.909
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       253.530             249.895             3.635         3.796
FSNT             303.650             305.884            -2.234         7.350
FSNTC            368.017             368.475            -0.459         0.782
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.895             118.652            -3.757         9.359
LWCF              32.549              31.242             1.307         5.311
PRECT              4.161               4.355            -0.194         0.961
PRECT_LAND         3.601               3.794            -0.193         0.623
PRECT_OCEAN        4.321               4.518            -0.197         1.044
PREH2O            33.001              40.647            -7.646         7.945
PREH2O_OCEAN      34.398              42.321            -7.923         8.205
PSI_200           -1.167              -1.185             0.018         0.197
PS               995.279             996.106            -0.827         0.967
PSL             1010.387            1011.156            -0.769         0.901
QFLX               3.992               4.129            -0.137         0.240
SHFLX             18.716              17.816             0.900         3.193
SNOWHLND           0.000               0.000             0.000         0.000
SST               24.332              26.784            -2.453         2.478
STRESS_MAG         0.062               0.056             0.006         0.010
SWCF             -64.367             -62.591            -1.775         7.410
T_850            286.868             289.772            -2.904         2.948
TGCLDLWP          49.647              50.097            -0.450         9.221
TGCLDIWP          19.936              18.144             1.792         6.398
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.133               0.133            -0.000         0.019
AODDUST            0.023               0.024            -0.001         0.009
TREFHT           296.023             298.683            -2.659         2.692
TS               297.081             299.694            -2.613         2.661
TS_LAND          295.521             298.702            -3.181         3.230
U_200              2.929               3.028            -0.099         2.181
VT_850             0.997               0.649             0.348         1.050
Z3_500            57.713              58.431            -0.718         0.719
